# Emission spectrum of  in ethanol
#
# Data from PhotochemCAD 2.1a has been munged on 26 February 2012 by Scott Prahl to make
# the information available to non-Windows users.  Although I have tried to be as careful
# as possible, I may have introduced some error; the cautious user is advised to compare
# these results with the original sources at www.photochemcad.com:
#
# H. Du, R. A. Fuh, J. Li, A. Corkan, J. S. Lindsey, "PhotochemCAD: A computer-aided design
#     and research tool in photochemistry," Photochem. Photobiol., 68, 141-142, 1998. 
# J. M. Dixon, M. Taniguchi and J. S. Lindsey "PhotochemCAD 2. A refined program with accompanying 
#     spectral databases for photochemical calculations", Photochem. Photobiol., 81, 212-213, 2005.
#
# The spectral absorption measurements were made by  on on 06-24-1997 
# using a Spex FluoroMax.   The excitation and emission monochromators were set at 1 mm, giving a spectral bandwidth of 4.25 nm.  The data interval was 0.5 nm and the integration time was 2.0 sec. Samples were prepared in 1cm pathlength quartz cells with absorbance less than 0.1 at the excitation and all emission wavelengths to uniformly illuminate across the sample, and to avoid the inner-filter effect.  The dark counts were subtracted and the spectra were corrected for wavelength-dependent instrument sensitivity.
#
##Wavelength (nm)	Emission (AU)
650.5	2163859
651	2144340
651.5	2123319
652	2097151
652.5	2069823
653	2059122
653.5	2031723
654	2013425
654.5	1987048
655	1968910
655.5	1948498
656	1925171
656.5	1903285
657	1889150
657.5	1867055
658	1844778
658.5	1818927
659	1807570
659.5	1780972
660	1767000
660.5	1742636
661	1721106
661.5	1701073
662	1683274
662.5	1661727
663	1646180
663.5	1622355
664	1606530
664.5	1585468
665	1571914
665.5	1550702
666	1537312
666.5	1520276
667	1507463
667.5	1490507
668	1470423
668.5	1458055
669	1442953
669.5	1424923
670	1405536
670.5	1389708
671	1377833
671.5	1358561
672	1344710
672.5	1329477
673	1314895
673.5	1299627
674	1283699
674.5	1263686
675	1251171
675.5	1236270
676	1224312
676.5	1204075
677	1192479
677.5	1178978
678	1163558
678.5	1149376
679	1139652
679.5	1126722
680	1111032
680.5	1095063
681	1088892
681.5	1075962
682	1059789
682.5	1046513
683	1038628
683.5	1023062
684	1010339
684.5	997197
685	987245
685.5	974891
686	969193
686.5	954935
687	943645
687.5	933261
688	924114
688.5	912951
689	906698
689.5	897362
690	884622
690.5	876508
691	864240
691.5	857859
692	849059
692.5	838229
693	830235
693.5	820727
694	813206
694.5	802589
695	793883
695.5	785778
696	777655
696.5	767302
697	758821
697.5	751826
698	742519
698.5	733333
699	726052
699.5	718371
700	711490
700.5	702008
701	694675
701.5	686378
702	682252
702.5	673277
703	669134
703.5	661535
704	651759
704.5	644025
705	637341
705.5	632489
706	624099
706.5	617889
707	611706
707.5	603425
708	596950
708.5	592043
709	582471
709.5	577113
710	570877
710.5	564330
711	560298
711.5	548863
712	550002
712.5	543352
713	537964
713.5	533355
714	524884
714.5	520207
715	514666
715.5	507118
716	505213
716.5	497388
717	491617
717.5	487760
718	481974
718.5	477352
719	472736
719.5	468100
720	462406
720.5	457612
721	453222
721.5	447654
722	444025
722.5	439878
723	434266
723.5	428732
724	427697
724.5	418445
725	416652
725.5	411245
726	409560
726.5	402084
727	402908
727.5	394730
728	390582
728.5	390271
729	387509
729.5	380661
730	381045
730.5	372527
731	369288
731.5	365090
732	361260
732.5	358883
733	357389
733.5	353387
734	347262
734.5	343666
735	339823
735.5	337294
736	335236
736.5	333193
737	327564
737.5	325088
738	324359
738.5	321727
739	315017
739.5	314044
740	307306
740.5	307209
741	307252
741.5	303376
742	300681
742.5	296876
743	297633
743.5	292290
744	289409
744.5	287506
745	286244
745.5	279276
746	279040
746.5	277062
747	273351
747.5	270470
748	269714
748.5	262393
749	267384
749.5	260152
750	259024
750.5	257366
751	256391
751.5	251483
752	248827
752.5	246684
753	243886
753.5	243678
754	241222
754.5	237722
755	237405
755.5	230536
756	231902
756.5	230982
757	227257
757.5	225777
758	226139
758.5	223637
759	222378
759.5	219813
760	215591
760.5	214397
761	212784
761.5	209577
762	213311
762.5	210614
763	208496
763.5	207410
764	207349
764.5	202927
765	201465
765.5	200162
766	200644
766.5	198215
767	196177
767.5	195140
768	192884
768.5	191290
769	190471
769.5	187771
770	186110
770.5	183721
771	184218
771.5	185012
772	182223
772.5	180425
773	180613
773.5	178999
774	177198
774.5	176582
775	175169
775.5	175122
776	174258
776.5	172746
777	171884
777.5	170742
778	168161
778.5	169776
779	168621
779.5	166121
780	166472
780.5	164462
781	163931
781.5	162483
782	163335
782.5	160446
783	161292
783.5	158621
784	157894
784.5	155933
785	157158
785.5	155270
786	155682
786.5	153959
787	153568
787.5	151419
788	149765
788.5	148256
789	150484
789.5	149344
790	148922
790.5	148249
791	148520
791.5	146778
792	145850
792.5	145974
